250,0.892,12,1748992
250,0.9,13,1675264
250,0.004,0,1736704
250,0.004,0,1769472
250,0.004,0,1699840
250,0.856,13,1683456
250,0.872,12,1835008
250,0.884,12,1888256
250,0.908,12,1888256
250,0.86,13,1687552
250,0.88,12,1871872
250,0.864,13,1789952
1000,0.881,51,1712128
250,0.896,12,1736704
500,0.84,25,1736704
750,0.885333,37,1736704
1000,0.895,49,1736704
1250,0.8936,64,1736704
1500,0.904667,76,1736704
1750,0.868,88,1736704
250,0.864,12,1773568
500,0.884,25,1773568
750,0.896,38,1773568
1000,0.894,51,1773568
1250,0.8632,63,1773568
1500,0.876,75,1773568
1750,0.867429,88,1773568
2000,0.883,100,1773568
2250,0.884,116,1773568
2500,0.8832,128,1773568
2750,0.886909,138,1773568
3000,0.879667,151,1773568
3250,0.874154,167,1773568
3500,0.883143,176,1773568
3750,0.8784,189,1773568
4000,0.8755,203,1773568
4250,0.888941,222,1773568
4500,0.879778,230,1773568
4750,0.875368,239,1773568
5000,0.8786,253,1773568
5250,0.880952,269,1773568
5500,0.883455,280,1773568
5750,0.881739,302,1773568
6000,0.8765,311,1773568
6250,0.88144,323,1773568
6500,0.868154,330,1773568
6750,0.875704,346,1773568
7000,0.878429,352,1773568
7250,0.882345,373,1773568
7500,0.879333,379,1773568
7750,0.875613,390,1773568
8000,0.869375,407,1773568
250,0.892,12,1671168
500,0.854,26,1671168
750,0.88,37,1671168
1000,0.889,51,1671168
1250,0.8944,64,1671168
1500,0.882,76,1671168
1750,0.877143,91,1671168
2000,0.8845,102,1671168
2250,0.9,114,1671168
2500,0.8828,126,1671168
2750,0.876,142,1671168
3000,0.888667,151,1671168
3250,0.878154,167,1671168
3500,0.887714,179,1671168
3750,0.870933,192,1671168
4000,0.87125,204,1671168
4250,0.884471,221,1671168
250,0.888,13,1835008
500,0.88,26,1835008
750,0.869333,39,1835008
1000,0.891,50,1835008
1250,0.8752,62,1835008
1500,0.876,75,1835008
1750,0.873714,93,1835008
2000,0.8755,101,1835008
2250,0.885778,114,1835008
2500,0.8748,127,1835008
2750,0.866182,144,1835008
3000,0.875333,155,1835008
3250,0.881846,162,1835008
3500,0.887429,180,1835008
3750,0.885867,187,1835008
4000,0.87725,203,1835008
4250,0.880235,215,1835008
4500,0.876889,228,1835008
4750,0.882105,243,1835008
5000,0.8732,251,1835008
5250,0.87619,268,1835008
5500,0.876727,282,1835008
5750,0.878783,289,1835008
6000,0.883333,306,1835008
6250,0.88272,317,1835008
6500,0.880462,327,1835008
6750,0.881185,343,1835008
7000,0.875,355,1835008
7250,0.888966,364,1835008
7500,0.875467,376,1835008
7750,0.887097,392,1835008
8000,0.8785,407,1835008
8250,0.880121,417,1835008
8500,0.884353,433,1835008
8750,0.875086,442,1835008
9000,0.873556,461,1835008
9250,0.878595,465,1835008
9500,0.880632,481,1835008
9750,0.88041,501,1835008
10000,0.8827,511,1835008
100,0.96,10,1785856
200,0.91,10,1785856
300,0.886667,15,1785856
400,0.88,20,1785856
500,0.856,26,1785856
600,0.871667,32,1785856
700,0.861429,36,1785856
800,0.8825,42,1785856
900,0.893333,45,1785856
1000,0.89,51,1785856
100,0,2966,21106688
100,0,2960,21102592
