100,0.99,0,1789952
200,1,1,1789952
300,0.996667,1,1789952
400,0.9975,3,1789952
500,1,2,1789952
600,1,3,1789952
700,0.998571,4,1789952
800,1,4,1789952
900,0.998889,5,1789952
1000,1,5,1789952
100,1,0,1789952
200,1,0,1789952
300,0.996667,0,1789952
400,1,0,1789952
500,1,0,1789952
600,1,0,1789952
700,1,0,1789952
800,0.99875,0,1789952
900,0.998889,0,1789952
1000,1,0,1789952
100,0.99,0,1835008
200,0.995,0,1835008
300,1,0,1835008
400,1,0,1835008
500,0.998,0,1835008
600,1,0,1835008
700,1,0,1835008
800,1,0,1835008
900,1,0,1835008
1000,0.999,0,1835008
