100,-nan,0,0
100,-nan,0,1
100,-nan,0,2
200,-nan,0,0
200,-nan,0,1
200,-nan,0,2
300,-nan,0,0
300,-nan,0,1
300,-nan,0,2
400,-nan,0,0
400,-nan,0,1
400,-nan,0,2
500,-nan,0,0
500,-nan,0,1
500,-nan,0,2
600,-nan,0,0
600,-nan,0,1
600,-nan,0,2
700,-nan,0,0
700,-nan,0,1
700,-nan,0,2
800,-nan,0,0
800,-nan,0,1
800,-nan,0,2
900,-nan,0,0
900,-nan,0,1
900,-nan,0,2
1000,-nan,0,0
1000,-nan,0,1
1000,-nan,0,2
100,-nan,0,0
100,-nan,0,1
100,-nan,0,2
200,-nan,0,0
200,-nan,0,1
200,-nan,0,2
300,-nan,0,0
300,-nan,0,1
300,-nan,0,2
400,-nan,0,0
400,-nan,0,1
400,-nan,0,2
500,-nan,0,0
500,-nan,0,1
500,-nan,0,2
600,-nan,0,0
600,-nan,0,1
600,-nan,0,2
700,-nan,0,0
700,-nan,0,1
700,-nan,0,2
800,-nan,0,0
800,-nan,0,1
800,-nan,0,2
900,-nan,0,0
900,-nan,0,1
900,-nan,0,2
1000,-nan,0,0
1000,-nan,0,1
1000,-nan,0,2
100,-nan,0,0
100,-nan,0,1
100,-nan,0,2
200,-nan,0,0
200,-nan,0,1
200,-nan,0,2
300,-nan,0,0
300,-nan,0,1
300,-nan,0,2
400,-nan,0,0
400,-nan,0,1
400,-nan,0,2
500,-nan,0,0
500,-nan,0,1
500,-nan,0,2
600,-nan,0,0
600,-nan,0,1
600,-nan,0,2
700,-nan,0,0
700,-nan,0,1
700,-nan,0,2
800,-nan,0,0
800,-nan,0,1
800,-nan,0,2
900,-nan,0,0
900,-nan,0,1
900,-nan,0,2
1000,-nan,0,0
1000,-nan,0,1
1000,-nan,0,2
100,-nan,0,0
200,-nan,0,0
300,-nan,0,0
400,-nan,0,0
500,-nan,0,0
600,-nan,0,0
700,-nan,0,0
800,-nan,0,0
900,-nan,0,0
1000,-nan,0,0
100,-nan,0,0
200,-nan,0,0
300,-nan,0,0
400,-nan,0,0
500,-nan,0,0
600,-nan,0,0
700,-nan,0,0
800,-nan,0,0
900,-nan,0,0
1000,-nan,0,0
5,-nan,0,0
5,-nan,0,0
5,-nan,0,0
5,-nan,0,0
